City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,port saint john's,-31.6229,29.5448,70.47,86,100,4.7,ZA,1713650181
111,codrington,-38.2667,141.9667,49.48,85,57,3.18,AU,1713650183
112,avarua,-21.2078,-159.775,80.65,78,75,5.75,CK,1713650064
113,mbekenyera,-10.0,38.9833,70.23,97,66,3.62,TZ,1713650185
114,aasiaat,68.7098,-52.8699,19.99,86,100,9.4,GL,1713650188
115,laibin,23.7,109.2667,72.63,97,100,6.35,CN,1713650189
116,gumel,12.6279,9.3912,90.68,11,3,4.88,NG,1713650190
117,kamthi,21.2333,79.2,86.34,27,36,6.06,IN,1713650191
118,sinop,41.7711,34.8709,51.8,77,7,11.03,TR,1713650192
119,aipe,3.2222,-75.2367,95.79,47,99,3.18,CO,1713650194
120,amga,60.8953,131.9608,32.56,73,100,11.88,RU,1713650196
121,kiunga,-6.1219,141.2906,76.05,99,99,0.96,PG,1713650197
122,isafjordur,66.0755,-23.124,40.17,93,100,16.55,IS,1713650199
123,dakoro,14.5106,6.765,91.89,11,51,10.29,NE,1713650201
124,stenungsund,58.0705,11.8181,33.26,93,26,6.98,SE,1713650057
125,port-vila,-17.7338,168.3219,78.4,100,100,2.3,VU,1713650204
126,bonthe,7.5264,-12.505,82.18,83,73,8.12,SL,1713650205
127,helensburgh,56.0061,-4.7265,49.84,89,91,0.87,GB,1713650207
128,nampula,-15.1165,39.2666,69.75,94,20,5.99,MZ,1713650208
129,poronaysk,49.2167,143.1167,38.68,95,100,4.27,RU,1713650209
130,flying fish cove,-10.4217,105.6791,76.68,100,100,12.66,CX,1713650210
131,albany,42.6001,-73.9662,50.05,65,97,5.01,US,1713649397
132,bambang,16.3833,121.1,68.36,66,14,0.87,PH,1713650213
133,nuuk,64.1835,-51.7216,27.88,68,100,4.61,GL,1713650214
134,palmer,42.1584,-72.3287,62.2,46,75,8.05,US,1713649921
135,mata-utu,-13.2816,-176.1745,84.29,79,58,18.63,WF,1713650216
136,zyryanskoye,56.8306,86.6258,29.03,76,98,3.71,RU,1713650218
137,westport,41.1415,-73.3579,67.01,55,100,4.61,US,1713650156
138,bredasdorp,-34.5322,20.0403,65.1,88,95,6.73,ZA,1713650220
139,constantia,44.1833,28.65,48.88,84,100,16.33,RO,1713649978
140,al kharijah,25.4514,30.5464,75.74,24,0,6.13,EG,1713650224
141,luderitz,-26.6481,15.1594,63.16,76,63,7.27,NA,1713650225
142,kailua-kona,19.6406,-155.9956,82.36,80,20,10.36,US,1713650165
143,praia da vitoria,38.7333,-27.0667,64.65,82,40,10.02,PT,1713650227
144,iskateley,67.6803,53.1512,14.02,93,100,21.0,RU,1713650228
145,korla,41.7597,86.1469,61.07,38,0,2.19,CN,1713650230
146,wakkanai,45.4094,141.6739,39.4,94,100,14.32,JP,1713650231
147,vadso,70.0744,29.7487,25.68,86,100,13.8,NO,1713650232
148,qamdo,31.1667,97.2333,34.23,59,43,1.52,CN,1713650233
149,sisimiut,66.9395,-53.6735,25.2,70,100,9.08,GL,1713650235
150,happy valley-goose bay,53.3168,-60.3315,43.11,70,100,18.41,CA,1713650137
